"biz_rest.business_id" "biz_rest.state" "biz_rest.name" "biz_rest.stars" "biz_rest.longitude" "biz_rest.latitude" "biz_rest.attributes.RestaurantsTakeOut" "biz_rest.attributes.RestaurantsReservations" "biz_rest.attributes.WiFi" "biz_rest.attributes.Caters" "biz_rest.review_count" "biz_rest.hours.Monday" "biz_rest.hours.Tuesday" "biz_rest.hours.Wednesday" "biz_rest.hours.Thursday" "biz_rest.hours.Friday" "biz_rest.hours.Saturday" "biz_rest.hours.Sunday" "num_checkins"
"4" "--9e1ONYQuAa-CB_Rrw7Tw" "NV" "Delmonico Steakhouse" 4 -115.16919 36.123183 FALSE TRUE "no" FALSE 1389 "11:30-14:00" "11:30-14:00" "11:30-14:00" "11:30-14:00" "11:30-14:00" "11:30-14:00" "11:30-14:00" 2469
"9" "--cZ6Hhc9F7VkKXxHMVZSQ" "NC" "Pio Pio" 4 -80.8448199047 35.1998528426 TRUE TRUE "no" TRUE 299 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "12:00-21:00" 646
"10" "--DaPTJW3-tB1vP-PfdTEg" "ON" "Sunnyside Grill" 3.5 -79.4446742 43.6778069 TRUE FALSE "free" TRUE 37 "7:00-15:00" "7:00-15:00" "7:00-15:00" "7:00-15:00" "7:00-16:00" "7:00-16:00" "7:00-16:00" 88
"20" "--KCl2FvVQpvjzmZSPyviA" "NC" "Hungry Howie's Pizza" 3 -80.796171 35.333478 TRUE FALSE "no" TRUE 12 "10:30-0:00" "10:30-0:00" "10:30-0:00" "10:30-0:00" "10:30-1:00" "10:30-1:00" "10:30-0:00" 88
"29" "--qJNlGWyvPJfBrqwp9c0w" "BW" "Bella Vista" 3.5 9.1932465113 48.7253521057 FALSE TRUE "no" TRUE 30 "17:30-23:00" "17:30-23:00" "17:30-23:00" "17:30-23:00" "11:30-14:30" "17:30-23:00" "11:30-23:00" 3
"32" "--S62v0QgkqQaVUhFnNHrw" "OH" "Denny's" 2 -81.455085 41.5394196 TRUE FALSE "no" FALSE 22 "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" 57
"34" "--SrzpvFLwP_YFwB_Cetow" "ON" "Keung Kee Restaurant" 3.5 -79.2888581 43.8067504 TRUE TRUE "free" FALSE 38 "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-1:00" "10:30-1:00" "10:30-0:00" 130
"38" "--ujyvoQlwVoBgMYtADiLA" "PA" "Primanti Bros." 3.5 -79.9438113 40.323927 TRUE FALSE "free" TRUE 66 "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-2:00" "11:00-2:00" "11:00-0:00" 220
"42" "-_5dPMqd2-dZh8xSSmw3Ag" "AZ" "Panda Express" 3 -112.152081 33.5227015 TRUE FALSE "no" TRUE 16 "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" 91
"53" "-_hk47bgWLbX0SfvBUkoPQ" "AZ" "Souper Salad" 3 -112.1180035 33.5764166 TRUE FALSE "no" FALSE 62 "10:45-20:00" "10:45-20:00" "10:45-20:00" "10:45-20:00" "10:45-20:00" "10:45-20:00" "10:45-20:00" 170
"57" "-_LSXPW6JcG0SBcW58H-ag" "ON" "The Old Nick" 3 -79.3577761 43.6762338 TRUE TRUE "free" FALSE 34 "15:00-2:00" "15:00-2:00" "15:00-2:00" "15:00-2:00" "15:00-2:00" "11:00-2:00" "11:00-2:00" 125
"58" "-_nz_8EPGQKKTd8loQDgXQ" "NC" "Salsarita's Fresh Mexican Grill" 3 -80.7721924782 35.3176552215 TRUE FALSE "free" TRUE 22 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" 106
"59" "-_O0VCqTfHWwweJsj7khNg" "OH" "Chipotle Mexican Grill" 3 -81.4766817016 41.1192992359 TRUE FALSE "no" TRUE 18 "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" "10:45-22:00" 83
"63" "-_TSaVr53qiEGqMkwyEMaQ" "NV" "Parsley Modern Mediterranean" 4.5 -115.209222423 36.1004655926 TRUE FALSE "no" TRUE 264 "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "11:00-22:00" "11:00-22:00" 1109
"64" "-_v2it0tjfDriFqN-FGpIg" "AZ" "Sonic Drive-In" 3 -112.3927585 33.6382332 TRUE FALSE "no" FALSE 19 "6:00-23:00" "6:00-23:00" "6:00-23:00" "6:00-23:00" "6:00-0:00" "6:00-0:00" "7:00-23:00" 16
"67" "-_yAaFHx0e1ZqmuHTtqnFA" "AZ" "Nick & Ben's Pizza Company" 4 -112.359759629 33.6113064036 TRUE FALSE "no" TRUE 79 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-21:00" 51
"68" "-_yEVC3_3M6YOsamYfNFEw" "NV" "Jason's Deli" 4 -115.1367955 36.1178702 TRUE FALSE "free" TRUE 158 "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" 988
"70" "-01XupAWZEXbdNbxNg5mEg" "AZ" "18 Degrees Neighborhood Grill" 3 -111.881924769 33.6392052827 TRUE FALSE "free" FALSE 72 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" 292
"75" "-092wE7j5HZOogMLAh40zA" "AZ" "Wong's Jr" 3.5 -112.2369102 33.5819938 TRUE FALSE "no" TRUE 83 "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" "11:00-21:30" 70
"80" "-0CTrPQNiSyClxhdO4HSDQ" "ON" "Pizza Hut" 2 -79.3536882 43.7932195 TRUE TRUE "no" TRUE 20 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-1:00" "11:00-1:00" "12:00-23:00" 54
"83" "-0DET7VdEQOJVJ_v6klEug" "ON" "Flaming Kitchen" 3 -79.348727 43.8483732 TRUE TRUE "no" FALSE 25 "12:00-23:00" "12:00-23:00" "12:00-23:00" "12:00-23:00" "12:00-23:00" "12:00-23:00" "12:00-23:00" 51
"94" "-0mm8pqBSIOYZQHeo8XnkA" "ON" "Philthy Philly's" 4 -79.4784417 44.0552473 TRUE FALSE "no" TRUE 32 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-21:00" 43
"97" "-0NrB58jqKqJfuUCDupcsw" "ON" "The Fry" 3.5 -79.4114635885 43.7628737536 TRUE TRUE "no" FALSE 76 "17:00-3:00" "17:00-3:00" "17:00-3:00" "17:00-3:00" "17:00-3:00" "17:00-3:00" "17:00-0:00" 139
"102" "-0Sgh0QlUKVsWosCWJzGqQ" "AZ" "Domino's Pizza" 2 -111.928995002 33.4143460071 TRUE FALSE "free" FALSE 42 "10:00-0:00" "10:00-0:00" "10:00-0:00" "10:00-0:00" "10:00-1:00" "10:00-1:00" "10:00-0:00" 21
"105" "-0tgMGl7D9B10YjSN2ujLA" "AZ" "Dubliner" 3.5 -111.998512848 33.6111282077 TRUE FALSE "no" FALSE 112 "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "10:00-2:00" "10:00-2:00" 760
"129" "-1UMR00eXtwaeh59pEiDjA" "AZ" "Matt's Big Breakfast" 3.5 -111.996636399 33.4369339893 TRUE FALSE "free" FALSE 279 "6:00-14:30" "6:00-14:30" "6:00-14:30" "6:00-14:30" "6:00-14:30" "6:00-14:30" "6:00-14:30" 697
"130" "-1VaIJza42Hjev6ukacCNg" "AZ" "Rio Mirage Cafe Y Cantina" 4 -112.3242972 33.6174356 TRUE TRUE "free" TRUE 169 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-22:00" "11:00-22:00" "10:00-20:00" 401
"131" "-1vfRrlnNnNJ5boOVghMPA" "NV" "Red Ginseng Narita Sushi & BBQ" 3 -115.286736503 36.2812952069 TRUE TRUE "no" FALSE 76 "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-22:00" 162
"135" "-1xCh7Cocn6IwFzhELyohA" "PA" "Jose' and Tony's Mexican Restaurant" 2.5 -80.0458648 40.3932623 TRUE FALSE "free" FALSE 34 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "13:00-21:00" 35
"136" "-1xuC540Nycht_iWFeJ-dw" "QC" "Romados" 4.5 -73.580749 45.51931 TRUE FALSE "no" FALSE 398 "6:30-21:00" "6:30-21:00" "6:30-21:00" "6:30-22:00" "6:30-22:00" "6:30-22:00" "6:30-21:00" 508
"143" "-2A9emZwBK8zYHPnAmM0hw" "AZ" "China Farm Chinese Buffet" 2.5 -111.9778065 33.394695 TRUE TRUE "free" FALSE 9 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-20:00" 13
"151" "-2hOglg7Lh8ZgclQJ9ba2w" "ON" "URSA" 3.5 -79.4158636 43.6448755 FALSE TRUE "no" TRUE 62 "22:00-2:00" "18:00-22:00" "18:00-22:00" "18:00-22:00" "18:00-2:00" "18:00-2:00" "18:00-22:00" 61
"152" "-2isRNVb6PDuBagELL5EBw" "AZ" "Taco Bell" 3 -112.135900766 33.5817130927 TRUE FALSE "free" FALSE 16 "10:00-1:00" "10:00-1:00" "10:00-1:00" "10:00-1:00" "10:00-3:00" "10:00-3:00" "10:00-1:00" 64
"160" "-2pQf1ceDZyE2ReCNbj-3A" "NC" "Just Fresh" 3.5 -80.9852803 35.1020065 TRUE FALSE "free" TRUE 50 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "9:00-21:00" "9:00-20:00" 222
"179" "-33BHZKxCiREa1cfa672OQ" "ON" "Triple Crown Bar & Grill" 2 -79.3167491 43.7413837 TRUE TRUE "free" TRUE 15 "7:00-2:00" "7:00-2:00" "7:00-2:00" "7:00-2:00" "7:00-2:00" "7:00-2:00" "7:00-2:00" 29
"193" "-3Haoc0l9DZRSXxIHi9oJg" "QC" "Klondike" 2 -73.9518165 45.4033441 TRUE TRUE "free" TRUE 19 "11:00-21:00" "11:00-21:00" "10:00-23:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-21:00" 9
"197" "-3oxnPPPU3YoxO9M1I2idg" "AZ" "Eklectic Pie - Mesa" 4 -111.8062972 33.3799121 TRUE FALSE "free" FALSE 129 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-22:00" "11:00-22:00" "11:00-21:00" 189
"199" "-3rvpkYkYD_N1IP4hSvD0A" "PA" "Sushi Three" 3.5 -80.0493988 40.3885913 TRUE TRUE "free" FALSE 23 "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-22:00" "11:30-15:00" "11:30-23:00" "12:30-21:00" 36
"204" "-3zffZUHoY8bQjGfPSoBKQ" "NV" "Michael Mina" 4 -115.177001 36.11199 FALSE TRUE "free" FALSE 574 "17:30-22:00" "17:30-22:00" "17:30-22:00" "17:30-22:00" "17:30-22:00" "17:30-22:00" "17:30-22:00" 906
"211" "-49WY_TEa9ZEcRk_GnuLog" "OH" "Cracker Barrel Old Country Store" 3.5 -82.0809626 41.4258611 TRUE FALSE "no" FALSE 27 "6:00-22:00" "6:00-22:00" "6:00-22:00" "6:00-22:00" "6:00-23:00" "6:00-23:00" "6:00-22:00" 161
"213" "-4B9nqmqqWUxzbQarf40uQ" "ON" "Willie Stouts" 3.5 -79.3309429 43.7742856 TRUE TRUE "free" FALSE 15 "11:30-0:00" "11:30-0:00" "11:30-0:00" "11:30-1:00" "11:30-2:00" "13:30-2:00" "11:00-23:00" 61
"216" "-4bPFENRdTqjML8aKEL6ow" "ON" "Paper Crane" 4 -79.5277234 43.9280357 TRUE TRUE "free" TRUE 29 "11:30-22:00" "11:30-22:00" "11:30-22:00" "11:30-22:00" "11:30-22:00" "12:00-22:00" "15:00-21:00" 22
"223" "-4g68Hwm892_KPUuW5g1_Q" "AZ" "Jimmy John's" 2.5 -111.926615071 33.393322091 TRUE FALSE "no" TRUE 37 "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-0:00" "10:00-0:00" "10:00-0:00" "10:00-22:00" 136
"234" "-4TMQnQJW1yd6NqGRDvAeA" "AZ" "The House Brasserie" 4 -111.9312414 33.4933638 FALSE TRUE "no" TRUE 343 "16:00-22:00" "16:00-22:00" "16:00-22:00" "16:00-22:00" "16:00-22:00" "17:00-22:00" "17:00-22:00" 1014
"247" "-5brzniWtye3w__aEvCaAA" "AZ" "Palermos Pizza" 3 -112.298149109 33.4351234436 TRUE TRUE "no" TRUE 5 "10:00-23:00" "10:00-23:00" "10:00-23:00" "10:00-23:00" "10:00-0:00" "10:00-0:00" "10:00-0:00" 8
"250" "-5DifC-lAFioAD_DLVgTMQ" "WI" "Firehouse Subs Mineral Point" 4 -89.5193733 43.0605835 TRUE FALSE "no" TRUE 26 "10:30-21:00" "10:30-21:00" "10:30-21:00" "10:30-21:00" "10:30-21:00" "10:30-21:00" "10:30-21:00" 83
"261" "-5L8zOxibac-vBrsYtxXbQ" "NC" "Ed's Tavern" 3.5 -80.852509 35.2004625 TRUE FALSE "free" FALSE 95 "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" 499
"263" "-5NXoZeGBdx3Bdk70tuyCw" "IL" "Po' Boys Restaurant" 4 -88.2058742 40.1176953 TRUE FALSE "no" TRUE 54 "11:00-20:00" "11:00-20:00" "11:00-20:00" "11:00-20:00" "11:00-21:00" "11:00-20:00" "11:00-20:00" 43
"284" "-6h3K1hj0d4DRcZNUtHDuw" "AZ" "Brio Tuscan Grille" 3.5 -111.925127616 33.6254092922 TRUE TRUE "free" TRUE 422 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-22:00" 1890
"297" "-6tvduBzjLI1ISfs3F_qTg" "AZ" "Joyride Taco House" 4 -111.78972993 33.3549550783 TRUE TRUE "free" TRUE 902 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-0:00" "11:00-0:00" "11:00-22:00" 2442
"308" "-7EwIdxcRC5McO35DVfeSQ" "ON" "Xin Jiang Restaurant" 4 -79.3304513 43.8186558 TRUE TRUE "no" FALSE 84 "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-0:00" "11:00-0:00" "11:00-23:00" 203
"309" "-7H-oXvCxJzuT42ky6Db0g" "PA" "Industry Public House" 3.5 -79.9602498 40.4707828 TRUE TRUE "free" FALSE 436 "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "10:00-2:00" 1065
"321" "-7XWJYkutqhIxLen7Grg1g" "ON" "Prince Sushi" 4 -79.6916705024 43.6373182798 TRUE TRUE "no" FALSE 94 "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-22:00" "16:30-23:00" "16:30-23:00" "17:00-22:00" 126
"328" "-8AoSGOdZyDdTpT2oqX3zQ" "QC" "Jack Astor's Bar & Grill" 3.5 -73.8479385 45.6287766 TRUE TRUE "free" TRUE 9 "11:00-1:00" "11:00-1:00" "11:00-1:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-1:00" 17
"332" "-8ILwSisSrTzcyy_Z0o9oA" "PA" "Pizza Cono" 3.5 -79.9222802 40.4381171 TRUE FALSE "free" TRUE 45 "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" 55
"333" "-8iwcXhLnyqbLgvcrJGgaw" "NC" "Red Rocks Cafe" 4 -80.8793759 35.445088 TRUE TRUE "free" TRUE 154 "11:00-23:30" "11:00-23:30" "11:00-23:30" "11:00-23:30" "11:00-0:00" "11:00-0:00" "10:30-23:00" 458
"334" "-8JaNeG3etLgOVyg2gOIiA" "AZ" "La Fontanella Restaurant" 4 -111.98983 33.4946209 TRUE TRUE "no" TRUE 61 "16:30-21:30" "16:30-21:30" "16:30-21:30" "16:30-21:30" "16:30-21:30" "16:30-21:30" "16:30-21:30" 89
"340" "-8O8sVCnaIKHP-596zN9UA" "OH" "Blue Canyon" 3.5 -81.4555928 41.312851 TRUE TRUE "free" TRUE 148 "17:00-21:00" "17:00-21:00" "17:00-21:00" "17:00-21:00" "17:00-22:00" "17:00-22:00" "16:00-20:00" 277
"341" "-8Oaw94x2pYJCVP8ZtuTTw" "NC" "Carrabba's Italian Grill" 3.5 -80.707971 35.1275266 TRUE FALSE "no" TRUE 69 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-21:30" 194
"345" "-8QlV3b_9H4BAh6LgMIr1g" "AZ" "Nandini Indian Cuisine" 4.5 -111.9075196 33.406601 TRUE TRUE "no" TRUE 406 "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-22:00" "17:00-22:00" 422
"353" "-92cC6-X87HQ1DE1UHOx3w" "QC" "Junior" 3.5 -73.5694548 45.4866027 TRUE TRUE "free" TRUE 53 "17:30-22:00" "17:30-22:00" "11:00-15:00" "11:00-15:00" "17:30-0:00" "17:30-0:00" "10:00-16:00" 53
"360" "-9eNGMp8XiygI8t8QFuFWw" "AZ" "The Melting Pot" 3.5 -112.004239 33.316214 FALSE TRUE "no" FALSE 244 "16:00-22:00" "16:00-22:00" "16:00-22:00" "16:00-22:00" "16:00-23:00" "15:00-23:00" "15:00-22:00" 742
"365" "-9nai28tnoylwViuJVrYEQ" "AZ" "Tapas Papa Frita" 3.5 -111.928574 33.498914 TRUE TRUE "free" TRUE 391 "15:00-22:00" "15:00-22:00" "15:00-22:00" "15:00-22:00" "15:00-23:00" "15:00-23:00" "11:00-15:00" 972
"370" "-9u2uFwhlj3Yq4mG5IweoA" "ON" "Hawker Bar" 3.5 -79.4203829 43.6482809 TRUE TRUE "no" TRUE 145 "18:00-23:00" "18:00-23:00" "18:00-23:00" "18:00-23:00" "18:00-2:00" "17:00-2:00" "17:00-23:00" 157
