"biz_dat.business_id" "biz_dat.stars" "biz_dat.date" "Year" "Month" "Day"
"1" "uYHaNptLzDLoV_JZ_MuzUA" 5 "2016-07-12" 2016 7 12
"2" "uYHaNptLzDLoV_JZ_MuzUA" 3 "2016-10-02" 2016 10 2
"3" "uYHaNptLzDLoV_JZ_MuzUA" 3 "2015-09-17" 2015 9 17
"4" "uYHaNptLzDLoV_JZ_MuzUA" 4 "2016-08-21" 2016 8 21
"5" "uYHaNptLzDLoV_JZ_MuzUA" 5 "2013-11-20" 2013 11 20
"6" "uYHaNptLzDLoV_JZ_MuzUA" 5 "2016-06-05" 2016 6 5
"7" "uYHaNptLzDLoV_JZ_MuzUA" 4 "2015-02-21" 2015 2 21
"8" "uYHaNptLzDLoV_JZ_MuzUA" 4 "2013-07-07" 2013 7 7
"9" "uYHaNptLzDLoV_JZ_MuzUA" 4 "2013-04-27" 2013 4 27
"10" "uYHaNptLzDLoV_JZ_MuzUA" 4 "2015-04-13" 2015 4 13
"11" "uYHaNptLzDLoV_JZ_MuzUA" 4 "2016-11-08" 2016 11 8
"12" "uYHaNptLzDLoV_JZ_MuzUA" 3 "2015-07-27" 2015 7 27
"13" "uYHaNptLzDLoV_JZ_MuzUA" 4 "2014-05-07" 2014 5 7
"14" "uYHaNptLzDLoV_JZ_MuzUA" 4 "2015-02-26" 2015 2 26
"15" "uYHaNptLzDLoV_JZ_MuzUA" 5 "2015-08-21" 2015 8 21
"16" "uYHaNptLzDLoV_JZ_MuzUA" 3 "2013-12-07" 2013 12 7
"17" "jQsNFOzDpxPmOurSWCg1vQ" 1 "2017-06-03" 2017 6 3
"18" "jQsNFOzDpxPmOurSWCg1vQ" 4 "2015-03-26" 2015 3 26
"19" "jQsNFOzDpxPmOurSWCg1vQ" 5 "2012-12-30" 2012 12 30
"20" "jQsNFOzDpxPmOurSWCg1vQ" 3 "2009-01-12" 2009 1 12
"21" "jQsNFOzDpxPmOurSWCg1vQ" 3 "2015-07-11" 2015 7 11
"22" "jQsNFOzDpxPmOurSWCg1vQ" 1 "2015-05-27" 2015 5 27
"23" "jQsNFOzDpxPmOurSWCg1vQ" 5 "2015-02-28" 2015 2 28
"24" "jQsNFOzDpxPmOurSWCg1vQ" 4 "2010-04-05" 2010 4 5
"25" "jQsNFOzDpxPmOurSWCg1vQ" 1 "2015-05-22" 2015 5 22
"26" "jQsNFOzDpxPmOurSWCg1vQ" 2 "2011-06-15" 2011 6 15
"27" "jQsNFOzDpxPmOurSWCg1vQ" 5 "2017-03-12" 2017 3 12
"28" "jQsNFOzDpxPmOurSWCg1vQ" 5 "2016-12-19" 2016 12 19
"29" "jQsNFOzDpxPmOurSWCg1vQ" 4 "2011-08-10" 2011 8 10
"30" "jQsNFOzDpxPmOurSWCg1vQ" 2 "2013-06-17" 2013 6 17
"31" "jQsNFOzDpxPmOurSWCg1vQ" 3 "2015-11-03" 2015 11 3
"32" "jQsNFOzDpxPmOurSWCg1vQ" 1 "2017-07-08" 2017 7 8
"33" "jQsNFOzDpxPmOurSWCg1vQ" 2 "2015-09-22" 2015 9 22
"34" "jQsNFOzDpxPmOurSWCg1vQ" 3 "2012-10-08" 2012 10 8
"35" "jQsNFOzDpxPmOurSWCg1vQ" 5 "2015-12-28" 2015 12 28
"36" "jQsNFOzDpxPmOurSWCg1vQ" 2 "2009-11-18" 2009 11 18
"37" "jQsNFOzDpxPmOurSWCg1vQ" 4 "2012-07-29" 2012 7 29
"38" "jQsNFOzDpxPmOurSWCg1vQ" 4 "2016-06-19" 2016 6 19
"39" "jQsNFOzDpxPmOurSWCg1vQ" 3 "2012-08-23" 2012 8 23
"40" "jQsNFOzDpxPmOurSWCg1vQ" 4 "2009-06-25" 2009 6 25
"41" "jQsNFOzDpxPmOurSWCg1vQ" 4 "2008-10-06" 2008 10 6
"42" "jQsNFOzDpxPmOurSWCg1vQ" 3 "2015-03-17" 2015 3 17
"43" "jQsNFOzDpxPmOurSWCg1vQ" 1 "2014-04-22" 2014 4 22
"44" "jQsNFOzDpxPmOurSWCg1vQ" 5 "2016-05-07" 2016 5 7
"45" "jQsNFOzDpxPmOurSWCg1vQ" 4 "2014-05-03" 2014 5 3
"46" "jQsNFOzDpxPmOurSWCg1vQ" 3 "2014-05-29" 2014 5 29
"47" "jQsNFOzDpxPmOurSWCg1vQ" 1 "2009-12-10" 2009 12 10
"48" "jQsNFOzDpxPmOurSWCg1vQ" 2 "2014-10-01" 2014 10 1
"49" "jQsNFOzDpxPmOurSWCg1vQ" 5 "2015-07-13" 2015 7 13
"50" "jQsNFOzDpxPmOurSWCg1vQ" 2 "2016-02-14" 2016 2 14
"51" "jQsNFOzDpxPmOurSWCg1vQ" 3 "2015-02-12" 2015 2 12
"52" "jQsNFOzDpxPmOurSWCg1vQ" 2 "2009-01-24" 2009 1 24
"53" "jQsNFOzDpxPmOurSWCg1vQ" 4 "2014-08-28" 2014 8 28
"54" "jQsNFOzDpxPmOurSWCg1vQ" 5 "2015-11-01" 2015 11 1
"55" "jQsNFOzDpxPmOurSWCg1vQ" 5 "2010-01-10" 2010 1 10
"56" "jQsNFOzDpxPmOurSWCg1vQ" 5 "2010-07-04" 2010 7 4
"57" "jQsNFOzDpxPmOurSWCg1vQ" 3 "2015-10-29" 2015 10 29
"58" "jQsNFOzDpxPmOurSWCg1vQ" 4 "2013-06-21" 2013 6 21
"59" "jQsNFOzDpxPmOurSWCg1vQ" 4 "2010-07-02" 2010 7 2
"60" "jQsNFOzDpxPmOurSWCg1vQ" 4 "2012-09-11" 2012 9 11
"61" "jQsNFOzDpxPmOurSWCg1vQ" 1 "2011-02-27" 2011 2 27
